sentence,label_ID
"Les mariages SAM-SEX deviennent courants dans de nombreux pays du monde, et d'autres pays envisagent de le légaliser.",15
L'acceptation par le gouvernement du mariage gay a été un moment historique en ce qui concerne et protégeant l'identité culturelle de la communauté LGBTQ +.,11
Des règles adéquates de santé et de sécurité doivent être appliquées pour fournir un environnement sûr aux immigrants et aux personnes actuelles.,9
La stabilité financière et l'accès aux ressources peuvent améliorer la qualité de vie des immigrants commençant dans une nouvelle nation.,10
Les dirigeants politiques ont discuté des avantages et des inconvénients des politiques d'immigrants ouvertes et restreintes.,13
La réglementation externe a considérablement accru la réputation du mariage gay dans de nombreux pays du monde.,14
"Ces dernières années, le thème de l'immigration est devenu de plus en plus divisant, l'opinion publique est de plus en plus divisée.",12
"L'immigration pour une nouvelle nation se produit parfois avec le danger de conduite criminelle, nécessitant une peine difficile de violations.",7
La liberté d'épouser une personne de sexe égal est un aspect essentiel de l'expression et de la protection de l'identité culturelle des couples avec un sexe égal.,11
L'acceptation LGBTQ + du mariage gay a été un moyen fort pour les gens de récupérer leur identité culturelle.,11
"Toute politique sur l'égalité du mariage sexuel doit être basée sur l'équité et l'égalité, car c'est un droit humain qui devrait être respecté.",4
"Dans de nombreux pays du monde, la gratitude des mariages à égalité de lingo est un problème politique majeur.",13
"Le mariage égal à la linga est un sujet politiquement controversé, et d'autres facteurs tels que l'adoption, les avantages professionnels et les soins de santé sont souvent affectés par le statut juridique du mariage égal.",15
Les gouvernements doivent garantir qu'ils ont la capacité et les ressources nécessaires pour faire face à l'immigration.,2
Les mariages Sam-ling sont devenus plus disponibles et acceptables dans la société à mesure que la capacité et les ressources se sont développées.,2
Les règles des immigrants de certains pays sont devenues plus rigides au fil du temps.,15
Les politiques d'immigration ont un impact significatif sur l'environnement économique et social du pays.,13
"Malgré l'opposition initiale, la régulation externe en faveur du mariage égal a obtenu une traction au fil du temps.",14
"Le processus d'immigration peut être difficile et difficile, mais il peut également fournir de nouvelles personnes liées à l'identité culturelle de leur nouvelle maison et à un sentiment de connexion.",11
De nombreux députés ont parlé en faveur d'un mariage sexuel égal et ont appelé l'égalité des droits pour tout le monde.,13
Les récentes décisions de la Cour suprême aux États-Unis ont souligné l'impact juridique et constitutionnel du mariage égal au lingo.,5
"L'immigration est un élément important de l'histoire humaine, et il peut avoir un impact significatif sur l'identité culturelle d'une personne.",11
Les politiciens adoptent souvent un poste sur l'immigration pour faire appel sur leur base et gagner des votes.,13
"Lors de l'évaluation de l'impact de l'immigration sur les infrastructures existantes et les institutions sociales, les dangers de la santé et de la sécurité doivent être pris en compte.",9
Les inondations d'immigrants dans d'autres pays ont affecté à la fois leurs bonnes et leurs mauvaises économies.,15
Les agents de l'immigration devraient coopérer pour garantir la sécurité et la défense du pays en surveillant et en contrôlant les personnes entrant dans le pays et en sortant du peuple.,8
