sentence,label_ID
"सम-सेक्स विवाह दुनिया भर के कई देशों में आम होता जा रहा है, और अन्य देश इसे वैध बनाने पर विचार कर रहे हैं।",15
समलैंगिक विवाह को सरकार की स्वीकृति LGBTQ+ समुदाय की सांस्कृतिक पहचान का सम्मान करने और उसकी रक्षा करने में एक ऐतिहासिक क्षण रहा है।,11
अप्रवासियों और वर्तमान लोगों दोनों के लिए एक सुरक्षित वातावरण प्रदान करने के लिए पर्याप्त स्वास्थ्य और सुरक्षा नियमों को लागू किया जाना चाहिए।,9
वित्तीय स्थिरता और संसाधनों तक पहुंच एक नए राष्ट्र में शुरू होने वाले अप्रवासियों के लिए जीवन की गुणवत्ता में सुधार कर सकती है।,10
राजनीतिक नेताओं ने खुली बनाम प्रतिबंधित अप्रवासी नीतियों के फायदे और नुकसान पर चर्चा की है।,13
बाहरी विनियमन ने दुनिया भर के कई देशों में समलैंगिक विवाह की प्रतिष्ठा में काफी वृद्धि की है।,14
"हाल के वर्षों में, आप्रवासन का विषय तेजी से विभाजनकारी हो गया है, जनता की राय अधिक विभाजित हो रही है।",12
"एक नए राष्ट्र के लिए आप्रवासन कभी-कभी आपराधिक आचरण के खतरे के साथ होता है, उल्लंघन करने वालों के लिए कठिन दंड की आवश्यकता होती है।",7
समान लिंग के किसी व्यक्ति से विवाह करने की स्वतंत्रता समान लिंग वाले जोड़ों की सांस्कृतिक पहचान को व्यक्त करने और उसकी रक्षा करने का एक अनिवार्य पहलू है।,11
LGBTQ+ लोगों के लिए अपनी सांस्कृतिक पहचान को पुनः प्राप्त करने के लिए समलैंगिक विवाह की स्वीकृति एक ज़बरदस्त साधन रही है।,11
"समान-सेक्स विवाह पर कोई भी नीति निष्पक्षता और समानता पर आधारित होनी चाहिए, क्योंकि यह एक मानव अधिकार है जिसका सम्मान किया जाना चाहिए।",4
दुनिया भर के कई देशों में समान-लिंग विवाह का वैधीकरण एक बड़ा राजनीतिक मुद्दा है।,13
"समान-लिंग विवाह एक राजनीतिक रूप से विवादास्पद विषय है, और अन्य कारक जैसे गोद लेने के अधिकार, नौकरी के लाभ और स्वास्थ्य देखभाल अक्सर समान-लिंग विवाह की कानूनी स्थिति से प्रभावित होते हैं।",15
सरकारों को यह गारंटी देनी चाहिए कि उनके पास अप्रवासन से निपटने के लिए आवश्यक क्षमता और संसाधन हैं।,2
साम-लिंग विवाह समाज में अधिक उपलब्ध और स्वीकार्य हो गया है क्योंकि क्षमता और संसाधनों का विस्तार हुआ है।,2
कुछ देशों के अप्रवासी नियम समय के साथ और अधिक कठोर होते गए हैं।,15
आप्रवास नीतियों का देश के आर्थिक और सामाजिक वातावरण पर महत्वपूर्ण प्रभाव पड़ता है।,13
"शुरुआती विरोध के बावजूद, समान-सेक्स विवाह के पक्ष में बाहरी विनियमन ने समय के साथ कर्षण प्राप्त किया है।",14
