sentence,label_ID
동성 결혼은 전 세계 많은 국가에서 점점 일반화되고 있으며 다른 국가에서는 합법화를 고려하고 있습니다.,15
정부의 동성 결혼 수용은 LGBTQ+ 커뮤니티의 문화적 정체성을 존중하고 수호하는 분수령이 되었습니다.,11
이민자와 현재 사람들 모두에게 안전한 환경을 제공하기 위해 적절한 건강 및 안전 규칙을 구현해야 합니다.,9
재정적 안정과 자원에 대한 접근성은 새로운 국가에서 시작하는 이민자들의 삶의 질을 향상시킬 수 있습니다.,10
정치 지도자들은 개방 이민 정책과 제한 이민 정책의 장점과 단점에 대해 논의했습니다.,13
외부 규제는 전 세계 많은 국가에서 동성 결혼의 명성을 크게 높였습니다.,14
최근 몇 년 동안 이민 문제는 점점 더 분열되고 있으며 여론은 더욱 분열되고 있습니다.,12
새로운 국가로의 이민은 때때로 범죄 행위의 위험을 수반하며 위반자에 대한 더 강력한 처벌이 필요합니다.,7
동성 결혼의 자유는 동성 커플의 문화적 정체성을 표현하고 보호하는 데 필수적인 측면입니다.,11
동성결혼 승인은 LGBTQ+ 사람들이 문화적 정체성을 회복할 수 있는 엄청난 수단이었습니다.,11
동성 결혼에 관한 모든 정책은 존중받아야 할 인권이기 때문에 공정성과 평등에 기반을 두어야 합니다.,4
동성 결혼의 합법화는 전 세계 많은 국가에서 큰 정치적 문제입니다.,13
"동성 결혼은 정치적으로 논란이 많은 주제이며, 입양 권리, 직업 혜택, 건강 관리와 같은 기타 요소는 종종 동성 결혼의 법적 지위에 의해 영향을 받습니다.",15
정부는 이민에 대처하는 데 필요한 역량과 자원이 있음을 보장해야 합니다.,2
동성 결혼은 수용 능력과 자원이 확장됨에 따라 사회에서 더욱 이용 가능하고 수용 가능해졌습니다.,2
일부 국가의 이민 규정은 시간이 지남에 따라 점점 더 엄격해졌습니다.,15
이민 정책은 한 국가의 경제 및 사회 환경에 상당한 영향을 미칩니다.,13
초기의 반대에도 불구하고 동성 결혼을 찬성하는 외부 규제는 시간이 지남에 따라 힘을 얻었습니다.,14
"이민 절차는 힘들고 어려울 수 있지만, 새 이주자들에게 소속감과 새로운 고향의 문화적 정체성에 대한 연결을 제공할 수도 있습니다.",11
많은 국회의원들이 동성 결혼에 찬성하며 모든 사람의 동등한 권리를 요구했습니다.,13
"미국의 최근 대법원 판결은 동성 결혼의 법적, 헌법적 파급 효과를 강조했습니다.",5
이민은 인류 역사의 중요한 요소이며 개인의 문화적 정체성에 상당한 영향을 미칠 수 있습니다.,11
정치인들은 자신의 기반에 호소하고 표를 얻기 위해 이민에 대한 입장을 자주 채택합니다.,13
현재 기반 시설 및 사회 제도에 대한 이민의 영향을 평가할 때 건강 및 안전 위험을 고려해야 합니다.,9
다른 나라로의 이민자들의 홍수는 좋은 경제와 나쁜 경제 모두에 영향을 미쳤습니다.,15
출입국관리공무원은 국가에 출입할 수 있는 사람을 감시하고 통제함으로써 국가 안보와 방위를 보장하기 위해 협력해야 합니다.,8
"동성 결혼을 통해 부부는 건강 보험, 연금 및 기타 혜택을 공유할 수 있어 더 나은 삶의 질에 기여합니다.",10
"정책 처방: 이산가족 상봉은 이민 개혁에서 우선순위를 두어야 하며, 이 문제에 대해 보다 평등주의적이고 인도적인 접근을 허용해야 합니다.",6
이민은 선과 악을 구분하기 어렵기 때문에 복잡하고 종종 윤리적으로 모호한 문제입니다.,3
이민이 증가함에 따라 신규 이민자를 환영하기 위한 추가 역량과 자원이 필요했습니다.,2
동성 결혼에 대한 여론은 양분되어 많은 사람들이 확고하게 찬성하거나 심하게 반대합니다.,12
정책처방: 동성커플의 아동입양은 허용되어야 한다. 이것은 동성 커플에게 이성애 커플처럼 가족을 시작할 수 있는 동일한 가능성을 제공할 것입니다.,6
