sentence,label_ID
ప్రపంచవ్యాప్తంగా అనేక దేశాలలో స్వలింగ వివాహాలు సర్వసాధారణంగా మారుతున్నాయి మరియు ఇతర దేశాలు దీనిని చట్టబద్ధం చేయాలని ఆలోచిస్తున్నాయి.,15
LGBTQ+ కమ్యూనిటీ యొక్క సాంస్కృతిక గుర్తింపును గౌరవించడంలో మరియు రక్షించడంలో స్వలింగ వివాహానికి ప్రభుత్వం అంగీకరించడం ఒక ముఖ్యమైన అంశం.,11
వలసదారులకు మరియు ప్రస్తుత ప్రజలకు సురక్షితమైన వాతావరణాన్ని అందించడానికి తగిన ఆరోగ్య మరియు భద్రతా నియమాలను తప్పనిసరిగా అమలు చేయాలి.,9
ఆర్థిక స్థిరత్వం మరియు వనరులకు ప్రాప్యత కొత్త దేశంలో ప్రారంభమయ్యే వలసదారుల జీవన నాణ్యతను మెరుగుపరుస్తుంది.,10
రాజకీయ నాయకులు ఓపెన్ vs నియంత్రిత ఇమ్మిగ్రేషన్ విధానాల ప్రయోజనాలు మరియు అప్రయోజనాలు గురించి చర్చించారు.,13
బాహ్య నియంత్రణ ప్రపంచంలోని అనేక దేశాలలో స్వలింగ వివాహ ఖ్యాతిని గణనీయంగా పెంచింది.,14
"ఇటీవలి సంవత్సరాలలో, ప్రజాభిప్రాయం మరింతగా చీలిపోవడంతో ఇమ్మిగ్రేషన్ అంశం ఎక్కువగా విభజించబడింది.",12
"కొత్త దేశానికి వలసలు కొన్నిసార్లు నేర ప్రవర్తన యొక్క ప్రమాదంతో కూడి ఉంటాయి, ఉల్లంఘించిన వారికి కఠినమైన జరిమానాలు అవసరం.",7
ఒకే లింగానికి చెందిన వారిని వివాహం చేసుకునే స్వేచ్ఛ స్వలింగ జంటల సాంస్కృతిక గుర్తింపులను వ్యక్తీకరించడానికి మరియు రక్షించడానికి అవసరమైన అంశం.,11
LGBTQ+ వ్యక్తులు తమ సాంస్కృతిక గుర్తింపును పునరుద్ధరించుకోవడానికి స్వలింగ వివాహ ఆమోదం ఒక అద్భుతమైన మార్గం.,11
"స్వలింగ వివాహంపై ఏదైనా విధానం న్యాయమైన మరియు సమానత్వంపై స్థాపించబడాలి, ఎందుకంటే ఇది గౌరవించవలసిన మానవ హక్కు.",4
ప్రపంచవ్యాప్తంగా అనేక దేశాలలో స్వలింగ వివాహాల చట్టబద్ధత పెద్ద రాజకీయ సమస్య.,13
"స్వలింగ వివాహం అనేది రాజకీయంగా వివాదాస్పద అంశం, మరియు దత్తత హక్కులు, ఉద్యోగ ప్రయోజనాలు మరియు ఆరోగ్య సంరక్షణ వంటి ఇతర అంశాలు తరచుగా స్వలింగ వివాహం యొక్క చట్టపరమైన స్థితి ద్వారా ప్రభావితమవుతాయి.",15
వలసలను ఎదుర్కోవడానికి అవసరమైన సామర్థ్యం మరియు వనరులు తమ వద్ద ఉన్నాయని ప్రభుత్వాలు హామీ ఇవ్వాలి.,2
సామర్థ్యం మరియు వనరులు విస్తరించినందున స్వలింగ వివాహం సమాజంలో మరింత అందుబాటులో మరియు ఆమోదయోగ్యమైనది.,2
కొన్ని దేశాల ఇమ్మిగ్రేషన్ నిబంధనలు కాలక్రమేణా మరింత కఠినంగా మారాయి.,15
ఇమ్మిగ్రేషన్ విధానాలు దేశం యొక్క ఆర్థిక మరియు సామాజిక వాతావరణంపై గణనీయమైన ప్రభావాన్ని చూపుతాయి.,13
"ముందస్తు వ్యతిరేకత ఉన్నప్పటికీ, స్వలింగ వివాహానికి అనుకూలంగా బాహ్య నియంత్రణ కాలక్రమేణా ట్రాక్షన్ పొందింది.",14
"ఇమ్మిగ్రేషన్ ప్రక్రియ కష్టతరమైనది మరియు కష్టతరమైనదిగా ఉంటుంది, అయితే ఇది కొత్తగా వచ్చిన వారికి వారి కొత్త ఇంటి సాంస్కృతిక గుర్తింపుకు సంబంధించిన భావాన్ని మరియు కనెక్షన్‌ను అందించగలదు.",11
"అనేక మంది చట్టసభ సభ్యులు స్వలింగ వివాహానికి అనుకూలంగా మాట్లాడారు, ప్రజలందరికీ సమాన హక్కుల కోసం పిలుపునిచ్చారు.",13
యునైటెడ్ స్టేట్స్‌లో ఇటీవలి సుప్రీం కోర్ట్ నిర్ణయాలు స్వలింగ వివాహం యొక్క చట్టపరమైన మరియు రాజ్యాంగపరమైన పరిణామాలను నొక్కిచెప్పాయి.,5
"ఇమ్మిగ్రేషన్ అనేది మానవ చరిత్రలో ఒక ముఖ్యమైన అంశం, మరియు ఇది ఒక వ్యక్తి యొక్క సాంస్కృతిక గుర్తింపుపై గణనీయమైన ప్రభావాన్ని చూపుతుంది.",11
రాజకీయ నాయకులు తమ స్థావరాన్ని ఆకర్షించడానికి మరియు ఓట్లను గెలుచుకోవడానికి వలసలపై తరచుగా స్థానాలను అవలంబిస్తారు.,13
"ప్రస్తుత అవస్థాపన మరియు సామాజిక సంస్థలపై ఇమ్మిగ్రేషన్ ప్రభావాన్ని అంచనా వేసేటప్పుడు, ఆరోగ్యం మరియు భద్రతా ప్రమాదాలను పరిగణనలోకి తీసుకోవాలి.",9
ఇతర దేశాలలోకి వలస వచ్చినవారి వరద వారి మంచి మరియు చెడు ఆర్థిక వ్యవస్థలపై ప్రభావం చూపింది.,15
దేశంలోకి ఎవరు ప్రవేశించవచ్చు మరియు నిష్క్రమించవచ్చో పర్యవేక్షించడం మరియు నియంత్రించడం ద్వారా దేశం యొక్క భద్రత మరియు రక్షణకు హామీ ఇవ్వడానికి ఇమ్మిగ్రేషన్ అధికారులు తప్పనిసరిగా సహకరించాలి.,8
